Date,City,State,AQI,PM2_5,PM10,NO2,SO2,CO,O3,Temperature_C,Humidity_%,Wind_kmph,Rainfall_mm,Traffic_Index,Industrial_Index,Population_Density,Season,AQI_Category,Health_Advisory
2024-07-24,Mumbai,Maharashtra,158,69.9,259.6,25.1,15.9,1.07,49.2,26.5,28,10.8,42.1,100,56,18191,Autumn,Moderate,Sensitive groups caution
2024-09-22,Bengaluru,Karnataka,221,69.1,200.3,38.1,57.4,0.8,60.4,20.0,74,16.6,42.4,45,76,1862,Summer,Poor,Limit outdoor activity
2024-07-24,Mumbai,Maharashtra,179,135.6,232.0,24.7,72.6,3.3,168.2,38.7,42,1.7,14.8,41,63,18980,Winter,Moderate,Sensitive groups caution
2025-06-18,Mumbai,Maharashtra,282,200.4,343.3,15.0,41.4,2.75,100.1,33.2,95,26.0,99.2,31,58,7667,Winter,Poor,Limit outdoor activity
2025-01-10,Ahmedabad,Gujarat,36,232.2,155.4,42.4,51.7,0.88,82.5,13.0,42,27.9,28.7,21,43,6430,Winter,Good,Normal
2025-04-10,Lucknow,Uttar Pradesh,261,236.6,114.8,117.1,54.1,2.85,33.1,12.3,27,25.1,105.5,90,48,3827,Monsoon,Poor,Limit outdoor activity
2024-08-14,Chennai,Tamil Nadu,109,45.1,64.4,40.4,65.4,1.19,115.8,45.0,35,24.0,62.1,61,17,28024,Autumn,Moderate,Sensitive groups caution
2024-07-30,Patna,Bihar,230,20.0,259.9,75.3,23.8,0.99,176.8,27.3,93,9.5,51.6,25,91,9167,Autumn,Poor,Limit outdoor activity
2024-11-27,Ahmedabad,Gujarat,221,164.3,230.8,32.3,66.3,2.49,20.5,16.3,54,3.0,115.8,23,79,11804,Summer,Poor,Limit outdoor activity
2023-03-15,Chennai,Tamil Nadu,53,227.9,162.3,104.0,33.1,0.44,36.2,14.7,36,15.5,19.6,81,86,9992,Winter,Satisfactory,Normal
2024-07-10,Hyderabad,Telangana,374,241.0,313.9,32.9,56.2,1.76,26.8,34.8,72,22.2,30.7,26,67,29387,Winter,Very Poor,Stay indoors
2023-10-24,Jaipur,Rajasthan,365,175.8,43.7,79.5,54.1,2.09,58.9,42.0,25,2.4,9.2,28,59,28100,Monsoon,Very Poor,Stay indoors
2024-11-08,Patna,Bihar,232,35.7,25.0,78.3,59.6,2.52,18.4,16.9,78,11.8,68.9,54,18,15358,Autumn,Poor,Limit outdoor activity
2023-06-11,Ahmedabad,Gujarat,377,94.8,160.3,63.8,8.7,0.68,42.1,28.1,86,1.2,49.0,86,31,27975,Winter,Very Poor,Stay indoors
2024-02-11,Delhi,Delhi,447,161.8,124.2,73.5,57.0,0.3,86.9,29.8,93,20.6,100.5,25,20,11689,Winter,Severe,Stay indoors
2023-11-05,Mumbai,Maharashtra,290,168.4,206.3,25.3,47.8,1.98,81.1,17.1,65,27.1,78.2,35,13,16976,Monsoon,Poor,Limit outdoor activity
2025-01-13,Chandigarh,Chandigarh,205,140.8,333.7,23.2,48.4,0.83,87.9,29.3,31,25.3,5.6,20,91,1935,Winter,Poor,Limit outdoor activity
2023-03-16,Pune,Maharashtra,181,125.2,189.8,66.3,63.8,1.02,123.6,32.8,20,20.4,56.1,63,60,4752,Winter,Moderate,Sensitive groups caution
2023-05-07,Chennai,Tamil Nadu,215,175.4,193.3,37.9,18.5,0.99,104.8,32.7,63,2.6,111.2,88,32,28466,Summer,Poor,Limit outdoor activity
2024-11-08,Chandigarh,Chandigarh,63,132.6,149.7,111.4,57.3,0.24,160.7,15.0,58,20.0,107.6,55,93,7734,Autumn,Satisfactory,Normal
2023-11-01,Delhi,Delhi,127,182.0,107.1,87.2,19.6,1.81,68.0,35.1,70,29.2,115.3,88,92,10264,Autumn,Moderate,Sensitive groups caution
2025-06-05,Jaipur,Rajasthan,280,140.4,39.3,72.1,70.7,2.89,32.4,28.6,59,9.1,26.8,97,47,6103,Winter,Poor,Limit outdoor activity
2023-06-29,Chennai,Tamil Nadu,383,238.1,216.1,42.2,49.6,0.79,88.0,44.6,41,9.4,99.7,28,32,2259,Winter,Very Poor,Stay indoors
2025-06-13,Chandigarh,Chandigarh,239,71.0,262.1,83.6,67.2,1.18,54.7,42.0,64,4.4,106.1,44,38,27310,Monsoon,Poor,Limit outdoor activity
2025-02-22,Chandigarh,Chandigarh,262,200.9,105.4,75.6,26.6,3.21,171.6,42.3,45,3.1,56.0,62,45,29031,Monsoon,Poor,Limit outdoor activity
2025-08-09,Mumbai,Maharashtra,206,40.7,57.6,108.8,19.5,3.36,143.2,14.5,93,14.1,98.8,89,27,26823,Winter,Poor,Limit outdoor activity
2025-03-07,Chandigarh,Chandigarh,310,133.3,125.5,35.4,20.8,0.89,59.8,38.5,31,6.6,96.7,70,97,6087,Summer,Very Poor,Stay indoors
2025-03-05,Bengaluru,Karnataka,387,202.5,252.8,9.2,64.1,2.55,38.8,44.5,27,4.8,81.7,74,72,21496,Autumn,Very Poor,Stay indoors
2023-03-07,Delhi,Delhi,341,16.4,129.4,61.8,8.4,1.54,116.4,30.2,85,11.9,57.4,52,50,22742,Monsoon,Very Poor,Stay indoors
2025-11-26,Lucknow,Uttar Pradesh,76,21.0,152.9,29.0,56.0,0.97,59.5,35.6,69,14.7,31.9,20,66,7250,Monsoon,Satisfactory,Normal
2023-12-12,Jaipur,Rajasthan,448,208.9,43.2,118.2,30.3,0.63,132.2,36.3,70,30.0,29.5,78,22,24275,Winter,Severe,Stay indoors
2023-07-31,Delhi,Delhi,448,36.3,202.6,99.8,30.4,0.47,40.9,20.8,88,13.8,42.8,41,63,14490,Winter,Severe,Stay indoors
2025-10-10,Hyderabad,Telangana,148,103.0,119.7,38.4,53.6,1.14,44.6,13.6,22,25.9,40.2,26,73,4377,Summer,Moderate,Sensitive groups caution
2025-03-11,Pune,Maharashtra,320,49.8,125.2,77.3,64.7,1.08,127.0,36.0,48,6.8,95.2,52,66,27788,Monsoon,Very Poor,Stay indoors
2023-11-24,Kolkata,West Bengal,354,216.5,172.9,17.0,47.1,1.89,133.1,11.1,66,12.4,90.2,23,64,24064,Summer,Very Poor,Stay indoors
2025-02-28,Pune,Maharashtra,197,217.3,20.2,116.2,62.1,0.42,117.8,23.1,86,12.7,91.4,87,15,26376,Winter,Moderate,Sensitive groups caution
2025-10-31,Jaipur,Rajasthan,220,81.8,210.2,80.9,36.3,0.58,174.3,18.4,69,7.9,100.2,82,85,12463,Summer,Poor,Limit outdoor activity
2025-09-10,Lucknow,Uttar Pradesh,210,111.4,280.5,119.1,78.0,1.95,167.2,26.5,44,19.1,67.4,25,63,25098,Summer,Poor,Limit outdoor activity
2025-09-12,Chandigarh,Chandigarh,211,87.2,305.1,101.8,7.7,1.69,16.0,20.1,48,17.4,15.7,74,64,8665,Autumn,Poor,Limit outdoor activity
2025-06-23,Bengaluru,Karnataka,130,15.1,84.0,98.8,6.5,2.73,160.3,41.4,73,6.4,113.9,23,10,21958,Winter,Moderate,Sensitive groups caution
2025-04-18,Jaipur,Rajasthan,368,171.0,143.7,32.9,55.7,2.89,86.1,36.1,28,14.9,87.6,40,89,24430,Winter,Very Poor,Stay indoors
2024-12-24,Ahmedabad,Gujarat,39,53.1,66.6,28.5,22.3,1.29,88.8,21.2,84,24.0,75.3,24,22,5438,Autumn,Good,Normal
2024-04-28,Bengaluru,Karnataka,396,183.6,248.3,20.4,35.5,1.63,83.3,19.5,63,13.3,48.3,73,44,18770,Winter,Very Poor,Stay indoors
2025-06-11,Lucknow,Uttar Pradesh,308,245.8,328.6,114.9,3.0,2.3,71.4,12.6,47,12.1,76.6,73,23,16087,Winter,Very Poor,Stay indoors
2024-08-15,Ahmedabad,Gujarat,52,245.7,45.8,13.4,7.9,2.0,73.6,35.8,21,5.4,67.5,65,85,22372,Winter,Satisfactory,Normal
2024-02-29,Kolkata,West Bengal,399,73.0,257.8,35.8,66.8,0.56,70.4,40.4,90,22.4,1.1,83,39,4733,Autumn,Very Poor,Stay indoors
2025-10-16,Pune,Maharashtra,176,121.1,209.5,70.1,45.3,2.19,67.8,35.2,63,21.2,11.2,41,15,3686,Monsoon,Moderate,Sensitive groups caution
2024-07-06,Kolkata,West Bengal,59,91.6,334.6,31.7,75.7,2.75,35.3,18.7,54,16.6,8.5,35,26,14611,Monsoon,Satisfactory,Normal
2023-04-30,Jaipur,Rajasthan,232,128.5,337.2,105.7,7.5,1.95,60.4,16.0,27,24.4,107.9,30,30,23986,Monsoon,Poor,Limit outdoor activity
2025-01-11,Kolkata,West Bengal,333,21.1,63.4,20.3,32.3,1.92,100.7,43.7,85,8.5,18.2,86,50,29357,Autumn,Very Poor,Stay indoors
2025-02-17,Ahmedabad,Gujarat,421,121.3,263.9,50.5,30.2,2.91,136.1,22.8,24,7.4,101.9,38,93,15265,Winter,Severe,Stay indoors
2025-07-31,Chennai,Tamil Nadu,210,58.0,44.3,85.8,46.6,2.41,119.0,12.5,46,26.3,109.5,86,94,9043,Autumn,Poor,Limit outdoor activity
2023-09-06,Bengaluru,Karnataka,229,14.6,128.3,25.0,72.0,1.58,87.8,34.3,54,10.5,1.0,80,80,15200,Summer,Poor,Limit outdoor activity
2025-03-26,Kolkata,West Bengal,367,20.9,121.3,62.3,78.5,1.66,105.3,36.1,61,27.1,8.6,96,75,9572,Summer,Very Poor,Stay indoors
2024-06-04,Ahmedabad,Gujarat,33,241.2,205.4,58.5,39.4,1.97,82.6,15.9,39,8.7,10.8,28,35,23101,Autumn,Good,Normal
2025-12-12,Lucknow,Uttar Pradesh,55,77.5,165.6,16.0,62.7,1.67,35.2,26.8,22,8.4,59.1,85,63,11124,Summer,Satisfactory,Normal
2024-06-20,Jaipur,Rajasthan,258,152.9,347.0,6.6,20.4,2.95,130.2,14.6,91,17.9,103.7,63,14,19466,Autumn,Poor,Limit outdoor activity
2023-04-06,Pune,Maharashtra,225,91.4,144.7,114.6,22.3,2.16,99.5,43.4,67,8.1,66.7,51,71,4055,Winter,Poor,Limit outdoor activity
2023-03-14,Patna,Bihar,215,108.5,112.6,84.9,58.5,1.05,60.2,21.9,59,10.8,57.8,59,14,11595,Autumn,Poor,Limit outdoor activity
2023-03-17,Lucknow,Uttar Pradesh,133,219.7,63.1,77.7,29.8,1.6,156.1,43.0,53,16.1,115.1,42,73,19681,Autumn,Moderate,Sensitive groups caution
2024-06-25,Jaipur,Rajasthan,31,246.7,319.4,109.4,38.7,2.99,135.7,22.4,85,20.7,38.5,99,21,27325,Winter,Good,Normal
2024-09-27,Bengaluru,Karnataka,235,128.8,176.8,11.0,69.0,2.47,108.5,27.5,25,5.6,22.3,46,96,7018,Monsoon,Poor,Limit outdoor activity
2023-02-03,Patna,Bihar,291,249.7,219.6,112.5,5.0,3.04,113.4,21.6,93,14.9,88.2,53,44,20964,Summer,Poor,Limit outdoor activity
2024-08-09,Delhi,Delhi,172,209.6,152.1,75.7,11.6,2.91,160.3,36.7,23,18.7,78.4,53,16,6770,Monsoon,Moderate,Sensitive groups caution
2025-07-05,Chandigarh,Chandigarh,211,223.8,215.8,55.1,34.5,1.26,87.6,35.2,27,4.4,98.1,78,15,4370,Winter,Poor,Limit outdoor activity
2023-07-01,Chennai,Tamil Nadu,233,227.5,218.9,100.8,4.3,2.39,172.2,28.8,75,22.5,88.0,69,79,29932,Monsoon,Poor,Limit outdoor activity
2023-04-15,Chandigarh,Chandigarh,245,90.3,334.6,6.9,71.3,2.44,103.2,15.5,86,18.9,40.1,53,79,12227,Monsoon,Poor,Limit outdoor activity
2024-12-09,Ahmedabad,Gujarat,143,150.0,122.8,77.5,34.8,1.1,43.1,41.7,53,25.4,21.4,20,47,6227,Autumn,Moderate,Sensitive groups caution
2025-10-13,Kolkata,West Bengal,371,105.1,177.3,110.3,21.9,1.35,37.1,33.7,62,24.6,53.3,34,62,12902,Summer,Very Poor,Stay indoors
2023-07-05,Kolkata,West Bengal,369,159.7,140.9,62.0,2.9,2.83,43.3,35.3,49,26.0,64.7,73,43,28754,Summer,Very Poor,Stay indoors
2024-08-25,Chandigarh,Chandigarh,422,207.2,297.6,66.6,23.7,1.63,78.7,24.2,53,23.7,20.3,100,22,14841,Summer,Severe,Stay indoors
2023-12-29,Chandigarh,Chandigarh,223,169.1,318.0,9.9,3.9,2.84,48.4,22.3,57,9.6,11.0,39,85,3902,Summer,Poor,Limit outdoor activity
2023-09-19,Jaipur,Rajasthan,394,187.0,326.0,51.0,67.9,1.57,107.0,38.7,23,13.7,5.8,87,43,13679,Summer,Very Poor,Stay indoors
2025-09-03,Chandigarh,Chandigarh,377,120.5,160.2,39.5,34.8,1.84,99.9,26.8,24,7.7,27.3,52,20,17350,Winter,Very Poor,Stay indoors
2024-01-18,Chennai,Tamil Nadu,362,97.8,146.9,22.7,34.6,0.75,68.3,40.2,49,20.1,83.4,22,68,24653,Autumn,Very Poor,Stay indoors
2023-11-03,Patna,Bihar,157,118.9,299.7,13.2,15.6,3.1,81.0,11.7,20,3.8,52.2,78,56,8991,Summer,Moderate,Sensitive groups caution
2023-09-05,Pune,Maharashtra,394,66.9,314.4,56.7,75.0,1.05,149.0,34.7,35,29.2,5.7,62,35,17985,Winter,Very Poor,Stay indoors
2023-10-07,Lucknow,Uttar Pradesh,426,241.6,263.5,11.0,69.3,0.93,88.6,44.0,39,2.8,10.0,59,94,11749,Winter,Severe,Stay indoors
2023-09-16,Patna,Bihar,280,138.0,330.1,13.0,31.5,2.43,47.2,15.3,53,18.4,75.3,77,82,5474,Summer,Poor,Limit outdoor activity
2023-06-10,Kolkata,West Bengal,415,155.2,129.1,76.4,19.1,1.91,120.5,23.2,26,7.2,19.3,55,61,17919,Autumn,Severe,Stay indoors
2024-06-30,Kolkata,West Bengal,298,222.5,339.8,37.3,67.0,2.9,41.1,35.9,47,11.1,78.6,86,39,21878,Monsoon,Poor,Limit outdoor activity
2023-12-11,Mumbai,Maharashtra,352,104.5,265.4,60.6,29.1,3.33,22.2,39.9,70,21.5,40.4,81,63,13424,Summer,Very Poor,Stay indoors
2025-03-17,Hyderabad,Telangana,424,198.2,329.0,117.8,8.9,1.48,80.8,20.9,46,24.1,2.8,20,14,4081,Winter,Severe,Stay indoors
2025-10-22,Jaipur,Rajasthan,446,32.0,312.9,51.3,73.3,0.86,151.8,41.9,39,25.0,31.9,79,90,25341,Autumn,Severe,Stay indoors
2024-05-19,Chandigarh,Chandigarh,325,21.6,329.5,88.2,49.1,3.32,86.0,32.1,59,26.3,28.7,81,100,6716,Winter,Very Poor,Stay indoors
2025-09-25,Jaipur,Rajasthan,152,188.7,277.0,25.0,9.1,1.98,106.1,15.4,26,16.8,77.3,100,89,27332,Monsoon,Moderate,Sensitive groups caution
2023-10-27,Bengaluru,Karnataka,306,76.8,148.1,61.5,73.2,1.84,107.6,39.1,24,23.7,102.6,40,65,22062,Monsoon,Very Poor,Stay indoors
2024-02-05,Chandigarh,Chandigarh,90,174.2,97.5,10.0,72.0,2.67,159.6,18.1,91,25.2,85.5,34,71,1321,Monsoon,Satisfactory,Normal
2025-12-30,Chandigarh,Chandigarh,132,145.3,94.0,52.9,36.1,1.69,171.9,35.3,60,13.2,88.8,23,69,11312,Summer,Moderate,Sensitive groups caution
2023-09-24,Lucknow,Uttar Pradesh,352,78.4,308.5,59.4,45.3,0.77,15.0,37.6,40,4.2,29.5,49,67,24022,Monsoon,Very Poor,Stay indoors
2024-03-02,Jaipur,Rajasthan,79,236.7,119.3,22.7,52.7,2.42,119.6,21.8,80,16.4,34.6,28,98,19037,Winter,Satisfactory,Normal
2025-02-15,Kolkata,West Bengal,266,224.3,207.7,108.2,67.8,2.33,69.0,40.3,49,24.0,7.5,71,40,2832,Monsoon,Poor,Limit outdoor activity
2025-05-07,Chennai,Tamil Nadu,329,58.5,316.8,111.2,40.0,2.04,63.6,44.7,45,27.4,79.3,76,99,23543,Autumn,Very Poor,Stay indoors
2024-12-02,Ahmedabad,Gujarat,50,16.1,168.0,99.8,8.7,3.49,132.7,13.8,65,13.9,66.3,81,13,14251,Monsoon,Good,Normal
2023-12-18,Chennai,Tamil Nadu,407,97.3,159.5,26.5,77.0,3.08,175.5,44.3,51,15.1,80.8,33,71,23764,Autumn,Severe,Stay indoors
2023-02-06,Ahmedabad,Gujarat,77,249.4,48.1,30.2,64.8,0.35,160.3,16.3,26,11.2,115.7,67,67,22396,Winter,Satisfactory,Normal
2025-07-12,Delhi,Delhi,173,231.7,120.4,58.6,54.2,0.4,106.2,26.5,73,24.0,102.8,63,50,2842,Summer,Moderate,Sensitive groups caution
2023-07-04,Delhi,Delhi,446,23.1,253.2,114.5,39.8,2.32,53.3,38.6,63,3.7,109.7,94,77,19955,Autumn,Severe,Stay indoors
2025-10-01,Patna,Bihar,236,135.3,212.2,22.4,68.6,1.27,163.3,39.4,42,4.3,73.6,30,84,9812,Monsoon,Poor,Limit outdoor activity
2023-08-13,Patna,Bihar,194,123.5,150.8,96.0,31.3,3.09,33.4,27.5,76,23.5,16.6,33,89,11854,Autumn,Moderate,Sensitive groups caution
2024-09-07,Lucknow,Uttar Pradesh,161,88.2,133.1,60.0,13.8,0.65,159.0,19.4,31,2.4,87.2,48,13,3402,Autumn,Moderate,Sensitive groups caution
2023-04-29,Kolkata,West Bengal,279,192.3,343.7,26.2,14.0,0.65,61.7,29.7,67,6.9,30.7,82,33,20268,Winter,Poor,Limit outdoor activity
2024-10-25,Chennai,Tamil Nadu,135,186.1,256.0,24.9,50.6,2.7,50.4,25.1,82,25.0,58.6,64,91,4241,Summer,Moderate,Sensitive groups caution
2024-08-18,Mumbai,Maharashtra,148,46.1,216.7,117.9,23.5,0.74,11.3,32.1,41,20.6,41.5,61,17,23076,Monsoon,Moderate,Sensitive groups caution
2023-12-15,Patna,Bihar,349,119.4,247.1,34.6,70.9,2.76,92.4,29.1,25,23.4,112.6,73,61,21246,Autumn,Very Poor,Stay indoors
2023-01-12,Delhi,Delhi,422,86.7,21.8,75.0,65.4,2.43,131.6,15.5,42,22.0,53.1,53,99,27680,Winter,Severe,Stay indoors
2025-05-11,Chandigarh,Chandigarh,38,147.1,100.8,20.7,18.9,1.87,150.9,16.0,46,5.6,23.5,51,11,25440,Winter,Good,Normal
2025-10-02,Chennai,Tamil Nadu,97,192.2,337.9,7.5,22.2,0.86,131.9,32.9,76,24.7,56.0,40,70,24967,Monsoon,Satisfactory,Normal
2024-08-18,Pune,Maharashtra,185,219.8,265.5,10.9,18.9,3.13,137.7,33.4,31,17.7,20.7,93,11,24644,Autumn,Moderate,Sensitive groups caution
2024-11-16,Jaipur,Rajasthan,259,138.8,89.7,29.2,66.2,0.48,19.2,35.8,66,5.8,7.1,69,43,9083,Monsoon,Poor,Limit outdoor activity
2023-01-19,Chennai,Tamil Nadu,92,62.1,243.4,51.7,75.4,0.4,95.5,14.5,68,28.8,118.2,23,69,8401,Summer,Satisfactory,Normal
2024-04-27,Kolkata,West Bengal,330,45.1,33.8,54.4,74.7,1.45,16.3,12.2,74,23.1,71.2,55,54,9639,Summer,Very Poor,Stay indoors
2024-02-10,Delhi,Delhi,439,119.6,77.8,119.2,6.4,2.03,130.6,39.6,40,10.8,2.9,87,10,12875,Summer,Severe,Stay indoors
2024-03-19,Ahmedabad,Gujarat,180,54.1,274.5,6.6,71.4,0.74,117.9,10.4,35,26.0,93.3,49,22,6573,Summer,Moderate,Sensitive groups caution
2024-10-17,Lucknow,Uttar Pradesh,389,152.7,90.9,41.9,3.0,3.46,136.2,19.9,75,22.9,116.4,32,59,3690,Autumn,Very Poor,Stay indoors
2025-04-07,Hyderabad,Telangana,192,95.3,151.1,40.2,22.2,2.72,64.6,42.3,36,12.0,105.8,55,98,13656,Winter,Moderate,Sensitive groups caution
2023-08-29,Ahmedabad,Gujarat,285,110.3,124.7,68.9,49.2,3.4,61.1,15.1,22,1.9,113.0,90,71,19778,Autumn,Poor,Limit outdoor activity
2023-01-09,Delhi,Delhi,250,221.0,245.8,107.9,73.3,3.34,106.0,17.6,80,14.6,73.4,85,75,10472,Autumn,Poor,Limit outdoor activity
2024-04-07,Pune,Maharashtra,58,12.0,71.8,24.2,78.9,1.46,96.6,21.6,35,11.9,99.6,100,64,24463,Winter,Satisfactory,Normal
2024-12-02,Pune,Maharashtra,75,230.8,198.9,90.9,53.1,1.38,106.2,10.1,69,18.1,113.3,96,52,3964,Monsoon,Satisfactory,Normal
2023-12-27,Ahmedabad,Gujarat,328,35.0,244.6,45.2,58.2,0.84,108.7,20.6,39,12.5,22.4,46,90,14769,Autumn,Very Poor,Stay indoors
2023-10-13,Chandigarh,Chandigarh,318,152.6,141.8,23.4,59.9,1.95,10.3,22.6,44,21.7,14.1,54,48,11074,Summer,Very Poor,Stay indoors
2024-02-21,Chennai,Tamil Nadu,338,162.5,331.0,48.3,54.3,1.24,139.7,27.1,89,17.3,110.5,73,49,28421,Autumn,Very Poor,Stay indoors
2023-02-13,Mumbai,Maharashtra,81,46.8,105.6,45.3,67.0,2.4,51.5,18.3,58,22.8,18.1,87,21,28647,Monsoon,Satisfactory,Normal
2024-07-07,Mumbai,Maharashtra,117,205.3,189.6,12.9,9.5,2.77,43.6,36.2,91,12.3,117.9,87,56,15335,Winter,Moderate,Sensitive groups caution
2024-05-28,Patna,Bihar,53,239.6,341.2,115.9,34.7,1.64,26.5,32.0,92,25.7,85.0,73,61,28573,Autumn,Satisfactory,Normal
2025-09-12,Jaipur,Rajasthan,258,178.7,37.9,8.3,43.0,2.21,144.3,43.0,26,10.8,88.3,52,37,10403,Winter,Poor,Limit outdoor activity
2024-10-25,Patna,Bihar,268,168.1,236.5,60.7,16.2,3.07,34.5,32.2,63,5.8,34.5,91,31,8848,Autumn,Poor,Limit outdoor activity
2025-10-30,Patna,Bihar,270,119.1,207.2,11.7,23.1,0.39,38.9,22.5,43,12.7,17.3,81,38,25160,Autumn,Poor,Limit outdoor activity
2024-10-02,Pune,Maharashtra,83,177.8,62.8,94.6,11.4,3.06,95.7,18.7,74,11.9,50.2,51,68,16809,Winter,Satisfactory,Normal
2024-04-27,Lucknow,Uttar Pradesh,303,182.4,290.5,112.3,58.4,2.59,155.2,28.0,33,12.4,34.9,45,72,3344,Summer,Very Poor,Stay indoors
2025-07-02,Pune,Maharashtra,104,159.2,291.9,82.2,30.3,2.91,144.5,36.7,65,15.6,42.3,91,95,7780,Monsoon,Moderate,Sensitive groups caution
2025-10-23,Patna,Bihar,214,243.5,216.2,68.6,11.3,3.45,136.2,35.0,23,23.8,98.5,32,86,10701,Autumn,Poor,Limit outdoor activity
2024-12-24,Jaipur,Rajasthan,314,77.0,109.5,33.3,61.9,0.53,31.3,30.8,34,15.5,82.4,30,47,19249,Winter,Very Poor,Stay indoors
2023-02-15,Mumbai,Maharashtra,122,72.0,168.5,115.7,38.8,0.27,71.0,13.6,66,5.6,23.5,50,43,10940,Autumn,Moderate,Sensitive groups caution
2025-12-16,Kolkata,West Bengal,45,12.7,51.3,34.9,13.6,3.38,94.6,44.3,92,18.0,99.8,81,82,27633,Winter,Good,Normal
2023-08-03,Mumbai,Maharashtra,82,79.7,230.3,117.6,10.8,1.52,44.7,16.0,74,1.0,9.3,46,49,20394,Monsoon,Satisfactory,Normal
2025-08-29,Jaipur,Rajasthan,80,16.8,210.0,42.4,36.8,1.49,158.2,25.0,26,19.2,33.0,38,74,25681,Autumn,Satisfactory,Normal
2025-11-25,Lucknow,Uttar Pradesh,329,100.5,341.7,28.6,37.9,1.41,141.4,20.1,51,23.8,9.2,33,38,10977,Monsoon,Very Poor,Stay indoors
2025-07-30,Chennai,Tamil Nadu,321,99.2,42.1,99.8,22.1,0.34,16.0,15.5,41,24.9,90.9,85,12,3584,Autumn,Very Poor,Stay indoors
2025-08-23,Jaipur,Rajasthan,267,94.9,142.6,81.1,35.0,2.08,83.7,35.3,73,15.7,59.4,81,74,3791,Winter,Poor,Limit outdoor activity
2023-07-24,Lucknow,Uttar Pradesh,169,218.1,325.2,35.2,18.7,2.94,175.3,31.7,92,27.3,85.6,76,23,14771,Autumn,Moderate,Sensitive groups caution
2025-08-09,Chandigarh,Chandigarh,396,231.0,254.4,68.9,75.3,1.85,122.7,15.8,87,28.1,68.2,28,50,8718,Monsoon,Very Poor,Stay indoors
2025-01-26,Ahmedabad,Gujarat,283,34.7,132.6,10.4,77.7,3.2,155.8,41.1,81,8.8,10.5,47,20,23391,Monsoon,Poor,Limit outdoor activity
2025-07-02,Lucknow,Uttar Pradesh,371,246.7,173.1,45.3,34.7,0.37,93.9,29.6,63,14.5,60.0,23,88,1466,Monsoon,Very Poor,Stay indoors
2024-07-24,Ahmedabad,Gujarat,431,89.4,57.6,45.6,11.8,0.98,71.0,30.8,80,13.5,58.4,25,73,24199,Summer,Severe,Stay indoors
2025-01-10,Hyderabad,Telangana,441,217.2,302.8,68.2,27.3,0.6,44.4,27.8,75,17.1,23.8,42,55,23609,Autumn,Severe,Stay indoors
2025-07-26,Patna,Bihar,372,25.4,79.6,117.3,52.9,0.66,64.1,25.4,66,21.0,1.3,100,49,9812,Summer,Very Poor,Stay indoors
2025-01-22,Bengaluru,Karnataka,107,74.7,315.9,85.5,30.7,0.81,115.0,27.7,49,16.4,80.1,84,90,20569,Monsoon,Moderate,Sensitive groups caution
2024-06-02,Delhi,Delhi,335,213.8,139.6,92.2,75.5,2.48,99.2,44.8,91,6.8,30.3,80,93,28352,Monsoon,Very Poor,Stay indoors
2025-10-24,Chandigarh,Chandigarh,73,246.0,250.4,17.1,32.9,1.55,150.3,31.8,77,2.9,23.5,49,56,24923,Monsoon,Satisfactory,Normal
2023-07-26,Ahmedabad,Gujarat,438,111.7,181.9,46.7,23.8,2.73,154.8,44.4,47,27.1,54.7,63,18,14108,Autumn,Severe,Stay indoors
2024-03-10,Ahmedabad,Gujarat,257,78.4,333.5,50.3,28.2,1.98,28.9,25.6,87,9.6,64.2,54,31,23173,Monsoon,Poor,Limit outdoor activity
2024-02-10,Lucknow,Uttar Pradesh,231,176.9,105.3,107.3,73.9,1.05,176.0,34.8,73,14.3,62.4,100,87,3980,Monsoon,Poor,Limit outdoor activity
2024-03-23,Mumbai,Maharashtra,339,223.5,129.2,110.4,22.7,2.29,136.8,24.4,86,13.9,37.8,63,87,21945,Monsoon,Very Poor,Stay indoors
2025-07-11,Lucknow,Uttar Pradesh,343,63.1,280.5,72.7,65.4,2.48,101.8,14.2,51,20.8,58.6,54,72,9637,Monsoon,Very Poor,Stay indoors
2025-06-11,Bengaluru,Karnataka,54,79.0,302.1,42.3,33.8,0.77,100.4,35.9,38,21.5,78.7,33,86,1527,Winter,Satisfactory,Normal
2024-03-31,Mumbai,Maharashtra,124,176.3,73.3,76.9,52.3,2.47,44.8,26.0,65,26.1,21.6,82,13,8271,Winter,Moderate,Sensitive groups caution
2024-09-06,Lucknow,Uttar Pradesh,337,181.0,61.0,104.3,53.4,2.74,49.8,27.9,76,29.6,14.9,67,75,29851,Autumn,Very Poor,Stay indoors
2023-02-23,Mumbai,Maharashtra,133,74.9,144.6,118.7,37.0,3.14,146.0,17.6,90,12.5,32.0,84,37,20251,Monsoon,Moderate,Sensitive groups caution
2024-11-05,Ahmedabad,Gujarat,82,164.7,176.7,9.8,52.6,0.78,168.5,37.3,85,15.8,21.8,90,84,7106,Winter,Satisfactory,Normal
2025-10-14,Bengaluru,Karnataka,383,126.2,120.0,25.0,48.3,0.26,155.4,25.6,77,29.2,42.6,31,68,18865,Summer,Very Poor,Stay indoors
2024-11-11,Jaipur,Rajasthan,264,222.7,74.4,54.5,44.4,1.84,90.2,28.8,82,6.3,12.1,58,27,12804,Winter,Poor,Limit outdoor activity
2023-08-14,Chennai,Tamil Nadu,105,102.7,159.6,109.6,35.9,2.76,92.6,33.7,85,22.6,23.0,65,73,29839,Autumn,Moderate,Sensitive groups caution
